COVID,NC,Normal
43.0,131.0,37.0
10.0,80.0,0.0
255.0,75.0,5.0
0.0,36.0,237.0
23.0,18.0,245.0
155.0,107.0,26.0
62.0,84.0,184.0
12.0,20.0,146.0
36.0,16.0,148.0
33.0,8.0,8.0
46.0,50.0,120.0
30.0,84.0,0.0
0.0,215.0,3.0
29.0,8.0,40.0
241.0,56.0,171.0
23.0,0.0,25.0
0.0,3.0,24.0
20.0,54.0,2.0
11.0,65.0,59.0
179.0,13.0,255.0
36.0,9.0,3.0
164.0,57.0,197.0
225.0,47.0,66.0
0.0,31.0,2.0
0.0,0.0,0.0
16.0,0.0,250.0
20.0,6.0,176.0
30.0,15.0,16.0
0.0,65.0,246.0
168.0,27.0,30.0
8.0,0.0,2.0
34.0,62.0,17.0
250.0,0.0,149.0
0.0,85.0,49.0
164.0,202.0,28.0
2.0,12.0,1.0
86.0,58.0,4.0
34.0,204.0,4.0
0.0,101.0,254.0
117.0,34.0,163.0
1.0,0.0,255.0
10.0,0.0,230.0
217.0,0.0,229.0
47.0,90.0,54.0
150.0,42.0,1.0
12.0,11.0,242.0
41.0,0.0,213.0
53.0,7.0,111.0
6.0,14.0,234.0
27.0,1.0,206.0
44.0,30.0,170.0
11.0,5.0,7.0
40.0,179.0,242.0
0.0,0.0,58.0
16.0,116.0,67.0
74.0,114.0,229.0
64.0,24.0,199.0
29.0,200.0,4.0
48.0,67.0,5.0
27.0,114.0,3.0
31.0,39.0,2.0
225.0,160.0,10.0
25.0,2.0,24.0
92.0,81.0,7.0
20.0,61.0,215.0
34.0,28.0,79.0
110.0,203.0,23.0
84.0,41.0,11.0
126.0,0.0,197.0
14.0,25.0,7.0
30.0,115.0,8.0
0.0,0.0,0.0
32.0,125.0,99.0
8.0,21.0,3.0
35.0,88.0,4.0
133.0,9.0,0.0
194.0,54.0,151.0
12.0,6.0,255.0
12.0,35.0,17.0
75.0,101.0,7.0
157.0,185.0,154.0
0.0,99.0,216.0
42.0,68.0,4.0
32.0,118.0,94.0
214.0,0.0,5.0
19.0,87.0,11.0
1.0,83.0,16.0
128.0,0.0,0.0
24.0,78.0,0.0
3.0,21.0,0.0
32.0,71.0,1.0
8.0,67.0,0.0
101.0,45.0,236.0
118.0,76.0,160.0
5.0,77.0,2.0
17.0,32.0,0.0
81.0,8.0,0.0
227.0,17.0,0.0
131.0,59.0,0.0
27.0,0.0,0.0
